"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\evgen\VScode\Work\gravitynode\src\app\Registation\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 2, 13
"c:\Users\evgen\VScode\Work\gravitynode\src\app\SignIn\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 3, 14
"c:\Users\evgen\VScode\Work\gravitynode\src\app\globals.css", "PostCSS", 0, 0, 209, 0, 100, 309
"c:\Users\evgen\VScode\Work\gravitynode\src\app\layout.tsx", "TypeScript JSX", 42, 0, 0, 2, 5, 49
"c:\Users\evgen\VScode\Work\gravitynode\src\app\page.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\hooks\useScroolbar.tsx", "TypeScript JSX", 17, 0, 0, 0, 5, 22
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 2, 7
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\ModeToggle.tsx", "TypeScript JSX", 37, 0, 0, 0, 1, 38
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\accordion.tsx", "TypeScript JSX", 50, 0, 0, 0, 8, 58
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\button.tsx", "TypeScript JSX", 52, 0, 0, 0, 6, 58
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\card.tsx", "TypeScript JSX", 68, 0, 0, 0, 9, 77
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\dropdown-menu.tsx", "TypeScript JSX", 183, 0, 0, 0, 19, 202
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\input.tsx", "TypeScript JSX", 19, 0, 0, 0, 4, 23
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\label.tsx", "TypeScript JSX", 21, 0, 0, 0, 6, 27
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\interactive-grid-pattern.tsx", "TypeScript JSX", 53, 0, 0, 15, 5, 73
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\magic-card.tsx", "TypeScript JSX", 97, 0, 0, 0, 12, 109
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\marquee.tsx", "TypeScript JSX", 49, 0, 0, 22, 3, 74
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\meteors.tsx", "TypeScript JSX", 53, 0, 0, 2, 6, 61
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\ripple-button.tsx", "TypeScript JSX", 82, 0, 0, 0, 10, 92
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\ripple.tsx", "TypeScript JSX", 74, 0, 0, 3, 7, 84
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\shimmer-button.tsx", "TypeScript JSX", 78, 0, 0, 8, 11, 97
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\shine-border.tsx", "TypeScript JSX", 40, 0, 0, 17, 5, 62
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\magicui\text-animate.tsx", "TypeScript JSX", 364, 0, 0, 34, 13, 411
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\sheet.tsx", "TypeScript JSX", 132, 0, 0, 4, 18, 154
"c:\Users\evgen\VScode\Work\gravitynode\src\shared\ui\theme-provider.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Auth\Registr.tsx", "TypeScript JSX", 139, 0, 0, 3, 10, 152
