"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Auth\sign-in.tsx", "TypeScript JSX", 41, 0, 0, 0, 2, 43
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Blog\Blog.tsx", "TypeScript JSX", 46, 0, 0, 0, 4, 50
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Blog\Blog.types.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Footer\Footer.tsx", "TypeScript JSX", 8, 0, 0, 0, 2, 10
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\app-header.tsx", "TypeScript JSX", 14, 0, 0, 0, 2, 16
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\auth.tsx", "TypeScript JSX", 21, 0, 0, 2, 1, 24
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\layout.tsx", "TypeScript JSX", 52, 0, 0, 0, 5, 57
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\logo-head.tsx", "TypeScript JSX", 17, 0, 0, 0, 2, 19
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\nav-desctop.tsx", "TypeScript JSX", 258, 0, 0, 11, 8, 277
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Header\ui\nav-mobile.tsx", "TypeScript JSX", 125, 0, 0, 1, 7, 133
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Hero\Hero.tsx", "TypeScript JSX", 13, 0, 0, 0, 2, 15
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Panel\ui\Panel-main.tsx", "TypeScript JSX", 15, 0, 0, 0, 2, 17
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Panel\ui\Panel.types.ts", "TypeScript", 0, 5, 0, 1, 0, 6
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Panel\ui\Panel2xl.tsx", "TypeScript JSX", 52, 0, 0, 6, 3, 61
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Panel\ui\PanelMobile.tsx", "TypeScript JSX", 52, 0, 0, 6, 4, 62
"c:\Users\evgen\VScode\Work\gravitynode\src\widgets\Panel\ui\reviwes.tsx", "TypeScript JSX", 22, 0, 0, 4, 3, 29
"Total", "-", 2429, 14, 209, 141, 322, 3115
